country,code,forest_area,rural_pop,access_electricity,pop_growth,GDP_growth,working_age_pop,life_expectancy
Kyrgyz Republic,KGZ,6.85808133,63.144,99.8651199,,-8.8945469,61.3788068,71.8
Cambodia,KHM,45.7079651,75.768,86.4,,-4.2136538,65.1018681,70.416
Kiribati,KIR,1.45679012,44.406,91.0447617,,-3.3853721,60.1228813,67.266
St. Kitts and Nevis,KNA,42.3076923,69.157,100,,-14.433979,70.7781917,71.627
"Korea, Rep.",KOR,64.4159836,18.586,100,,-0.8462122,72.0045161,83.4268293
Kuwait,KWT,0.35072952,0,100,,-7.1693568,75.0417876,76.92
Latin America & Caribbean (excluding high income),LAC,46.9157258,19.3079561,98.0106186,,-7.3631211,67.5044859,72.8363033
Lao PDR,LAO,71.9042461,63.71,99.3113632,,-0.9709414,64.3470933,68.497
Lebanon,LBN,14.0107527,11.075,99.9830704,,-19.748428,62.8148606,77.804
Liberia,LBR,79.0847176,47.911,27.5597496,,-4.9332023,55.1682434,60.948
Libya,LBY,0.12332769,19.309,69.3682632,,-30.682533,65.7951557,72.472
St. Lucia,LCA,34.0491803,81.159,100,,-24.640555,72.5106214,73.416
Latin America & Caribbean,LCN,46.5128137,18.86543,98.1578893,,-7.3731456,67.3344199,73.0384742
Least developed countries: UN classification,LDC,26.2378252,65.2814631,54.5651341,,-2.5547808,57.1618779,64.6297215
Low income,LIC,20.2902822,66.4145926,43.2232497,,-2.6821322,54.5103194,62.9545325
Liechtenstein,LIE,41.875,85.584,100,,,66.8851275,81.6585366
Sri Lanka,LKA,34.1580989,81.287,99.9740982,,-5.1292631,65.6098082,76.393
Lower middle income,LMC,24.3426514,58.6818088,89.0889117,,-4.4928576,63.9754307,68.5519023
Low & middle income,LMY,31.5414821,48.8542879,88.6753326,,-2.3289203,64.843626,70.7632367
Lesotho,LSO,1.1370224,70.972,47.4970131,,-8.624587,61.5615989,54.693
Late-demographic dividend,LTE,39.5332943,35.9111661,99.3928615,,-0.1549849,69.0193015,76.7229064
Lithuania,LTU,35.1485149,31.954,100,,-0.0513691,64.509861,74.9780488
Luxembourg,LUX,34.4538272,8.547,100,,-2.5473461,69.4608736,82.1439024
Latvia,LVA,54.8094167,31.685,100,,-2.8348528,62.9495923,75.1853659
"Macao SAR, China",MAC,,0,100,,-55.188681,73.9855948,85.184
St. Martin (French part),MAF,24.8,,100,,-10.973259,66.9508187,80.149
Morocco,MAR,12.8668833,36.468,100,,-8.1639653,65.7570777,73.92
Monaco,MCO,0,0,100,,-12.747219,51.537024,
Moldova,MDA,11.7532219,57.151,100,,-7.2632698,66.9953648,70.166
Madagascar,MDG,21.3644036,61.466,32,,-9.4145298,57.0341447,65.182
Maldives,MDV,2.73333333,59.331,100,,-34.203864,73.8265836,79.875
Middle East & North Africa,MEA,2.05089672,34.4399547,97.2299187,,-5.0995474,64.5996511,72.9497683
Mexico,MEX,33.7930914,19.269,99.4,,-9.3135027,66.6419602,70.133
Marshall Islands,MHL,52.2222222,22.206,98.2568512,,0.09685883,61.9692031,64.977
Middle income,MIC,33.6450054,46.8625583,93.830611,,-2.1674538,66.0152964,71.6486509
North Macedonia,MKD,39.7101507,41.518,100,,-5.9222959,69.2936739,74.395122
Mali,MLI,10.8966636,56.091,50.6440659,,-4.290966,49.8961366,58.633
Malta,MLT,1.4375,5.256,100,,-10.088252,67.9599424,82.3487805
Myanmar,MMR,43.734031,68.859,70.415741,,-9.700371,68.422233,66.797
Middle East & North Africa (excluding high income),MNA,2.49696723,38.1076793,96.7723313,,-4.7484917,63.3101305,72.172697
Montenegro,MNE,61.4869888,32.512,99.8531113,,-15.208475,65.8276203,75.9317073
Mongolia,MNG,9.09965849,31.343,99.5021667,,-6.3512406,63.5377094,72.141
Northern Mariana Islands,MNP,52.9565217,8.202,100,,-29.296547,69.0419772,
Mozambique,MOZ,46.7251965,62.926,30.6123829,,-4.0476429,53.5364024,61.172
